좋아하는일,필요한능력,진로결정,도움요청,취업기관방문,능력준비,자신인지,전공인지,진로결정불변,결정회피,이력서작성인지,장점인지,직업전망인지,결정후회,취업정보문의,가치인지,관심직업인지,진로만족,결정경험없음,인사담당자문의,자기소개서작성능력,즐거운일인지,진로설명,결과두려움,도움요청,면접자신감,전공직업인지,진로계획,타인결정의존,구인정보확인,임금환경인지,취업도움요청,면접질문대응,결정두려움,이력서작성능력,학과,성별,연령,학년
2 ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,3 ,2 ,1 ,2 ,2 ,1 ,2 ,3 ,2 ,2 ,2 ,2 ,3 ,2 ,3 ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,패션의류학과,1,24,4
3 ,3 ,3 ,1 ,3 ,3 ,3 ,1 ,3 ,3 ,3 ,1 ,3 ,4 ,3 ,2 ,2 ,4 ,3 ,2 ,2 ,2 ,4 ,2 ,2 ,2 ,2 ,4 ,2 ,2 ,1 ,2 ,5 ,2 ,2 ,수학교육,2,22,3
3 ,3 ,5 ,3 ,4 ,3 ,4 ,4 ,5 ,2 ,2 ,3 ,3 ,3 ,4 ,2 ,4 ,4 ,4 ,3 ,3 ,2 ,4 ,3 ,3 ,4 ,4 ,4 ,2 ,2 ,3 ,3 ,3 ,2 ,3 ,9999,9999,9999,9999
2 ,2 ,4 ,2 ,2 ,2 ,2 ,4 ,4 ,2 ,4 ,3 ,3 ,3 ,1 ,1 ,1 ,1 ,1 ,2 ,3 ,2 ,2 ,2 ,3 ,2 ,2 ,3 ,2 ,1 ,1 ,3 ,1 ,2 ,2 ,금융보험,1,23,4
2 ,2 ,2 ,3 ,3 ,2 ,1 ,2 ,2 ,4 ,4 ,2 ,2 ,4 ,3 ,2 ,2 ,2 ,4 ,4 ,4 ,2 ,2 ,2 ,3 ,2 ,2 ,2 ,3 ,3 ,3 ,2 ,2 ,4 ,4 ,금융보험,1,24,4
2 ,2 ,2 ,3 ,3 ,2 ,1 ,2 ,2 ,4 ,4 ,2 ,2 ,4 ,3 ,2 ,2 ,2 ,4 ,4 ,4 ,2 ,2 ,2 ,3 ,2 ,2 ,3 ,3 ,2 ,2 ,4 ,4 ,3 ,2 ,금융보험,1,24,4
2 ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,4 ,3 ,2 ,2 ,4 ,2 ,2 ,2 ,2 ,4 ,4 ,2 ,2 ,2 ,4 ,2 ,3 ,2 ,2 ,4 ,2 ,2 ,2 ,3 ,4 ,3 ,임상건강운동,1,23,3
2 ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,4 ,2 ,2 ,2 ,4 ,2 ,2 ,2 ,2 ,4 ,2 ,2 ,2 ,4 ,2 ,2 ,2 ,2 ,2 ,2 ,4 ,2 ,2 ,9999,1,9999,9999
3 ,2 ,3 ,3 ,4 ,4 ,2 ,3 ,4 ,2 ,3 ,1 ,2 ,3 ,3 ,1 ,2 ,4 ,3 ,2 ,3 ,3 ,2 ,3 ,2 ,3 ,3 ,2 ,2 ,2 ,3 ,1 ,2 ,2 ,3 ,무역,1,22,2
3 ,3 ,3 ,3 ,2 ,1 ,2 ,2 ,4 ,3 ,2 ,3 ,3 ,3 ,2 ,3 ,2 ,1 ,3 ,4 ,4 ,4 ,4 ,1 ,2 ,3 ,3 ,2 ,2 ,2 ,3 ,3 ,4 ,2 ,2 ,컴퓨터공학,1,20,2
2 ,2 ,2 ,3 ,2 ,2 ,2 ,2 ,3 ,4 ,2 ,2 ,2 ,2 ,3 ,2 ,2 ,1 ,1 ,4 ,2 ,2 ,2 ,2 ,2 ,4 ,2 ,2 ,2 ,5 ,2 ,2 ,1 ,1 ,5 ,사회교육,1,25,4
1 ,1 ,1 ,1 ,2 ,1 ,1 ,1 ,1 ,1 ,1 ,1 ,1 ,5 ,1 ,1 ,1 ,1 ,5 ,1 ,1 ,1 ,1 ,5 ,1 ,1 ,1 ,1 ,5 ,1 ,1 ,1 ,1 ,5 ,1 ,체육교육과,1,22,4
3 ,3 ,3 ,3 ,3 ,3 ,3 ,3 ,3 ,3 ,3 ,3 ,3 ,3 ,3 ,3 ,3 ,3 ,3 ,3 ,3 ,3 ,3 ,3 ,3 ,3 ,3 ,3 ,3 ,3 ,3 ,3 ,3 ,3 ,3 ,멀티미디어,2,21,3
2 ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,4 ,3 ,3 ,3 ,5 ,2 ,2 ,3 ,3 ,5 ,3 ,2 ,3 ,3 ,3 ,3 ,4 ,3 ,5 ,3 ,3 ,3 ,3 ,4 ,4 ,4 ,멀티미디어,2,20,3
3 ,2 ,3 ,2 ,3 ,2 ,3 ,1 ,2 ,3 ,4 ,3 ,2 ,3 ,3 ,2 ,2 ,2 ,4 ,3 ,3 ,2 ,2 ,4 ,3 ,4 ,3 ,3 ,3 ,3 ,3 ,2 ,3 ,4 ,3 ,식품영양,2,20,2
1 ,1 ,1 ,1 ,1 ,1 ,1 ,1 ,1 ,4 ,3 ,1 ,3 ,4 ,3 ,2 ,2 ,2 ,4 ,3 ,3 ,3 ,3 ,3 ,3 ,3 ,3 ,3 ,3 ,3 ,3 ,2 ,3 ,3 ,3 ,패션의류,1,24,4
3 ,2 ,3 ,3 ,3 ,3 ,2 ,2 ,2 ,3 ,3 ,2 ,3 ,3 ,3 ,4 ,2 ,3 ,3 ,3 ,3 ,3 ,3 ,3 ,2 ,3 ,3 ,4 ,3 ,4 ,4 ,4 ,3 ,3 ,3 ,식품영양,2,21,4
2 ,2 ,2 ,2 ,3 ,4 ,3 ,3 ,3 ,3 ,3 ,3 ,3 ,2 ,1 ,2 ,3 ,3 ,3 ,3 ,2 ,3 ,3 ,3 ,3 ,3 ,3 ,3 ,3 ,3 ,3 ,3 ,3 ,2 ,4 ,식품영양,2,21,4
2 ,2 ,1 ,3 ,3 ,3 ,2 ,2 ,2 ,3 ,4 ,3 ,2 ,3 ,3 ,2 ,2 ,2 ,4 ,3 ,3 ,2 ,2 ,3 ,2 ,4 ,3 ,2 ,3 ,2 ,2 ,3 ,3 ,3 ,3 ,컴퓨터공학,1,22,3
1 ,1 ,1 ,1 ,3 ,3 ,3 ,2 ,1 ,3 ,2 ,1 ,2 ,3 ,2 ,2 ,1 ,1 ,3 ,4 ,4 ,2 ,2 ,2 ,1 ,3 ,2 ,2 ,4 ,3 ,2 ,3 ,3 ,4 ,3 ,한국어문학,2,21,3
3 ,3 ,3 ,3 ,3 ,3 ,3 ,3 ,3 ,3 ,3 ,3 ,3 ,3 ,3 ,3 ,3 ,3 ,3 ,3 ,3 ,3 ,3 ,3 ,3 ,3 ,3 ,3 ,3 ,3 ,3 ,3 ,3 ,3 ,3 ,호텔외식조리,2,20,2
3 ,3 ,3 ,3 ,3 ,3 ,3 ,3 ,3 ,3 ,3 ,3 ,3 ,3 ,3 ,3 ,3 ,3 ,3 ,3 ,3 ,3 ,3 ,3 ,3 ,3 ,3 ,3 ,3 ,3 ,3 ,3 ,3 ,3 ,3 ,호텔외식조리,1,20,2
2 ,2 ,2 ,3 ,3 ,4 ,3 ,3 ,2 ,4 ,3 ,3 ,2 ,2 ,2 ,2 ,2 ,3 ,2 ,2 ,3 ,3 ,3 ,2 ,2 ,3 ,2 ,2 ,3 ,3 ,2 ,3 ,3 ,3 ,3 ,식품영양,1,24,2
2 ,2 ,2 ,2 ,3 ,2 ,2 ,2 ,3 ,3 ,4 ,4 ,5 ,1 ,2 ,2 ,2 ,4 ,3 ,3 ,2 ,3 ,3 ,2 ,3 ,2 ,2 ,5 ,3 ,3 ,2 ,3 ,3 ,2 ,2 ,금융보험,1,24,4
2 ,2 ,2 ,2 ,2 ,2 ,4 ,3 ,3 ,2 ,2 ,4 ,2 ,3 ,3 ,3 ,2 ,2 ,2 ,3 ,2 ,2 ,2 ,2 ,2 ,2 ,3 ,3 ,3 ,3 ,3 ,3 ,2 ,2 ,2 ,임상건강운동,1,20,2
1 ,2 ,2 ,1 ,1 ,1 ,1 ,1 ,1 ,1 ,2 ,3 ,2 ,2 ,4 ,1 ,1 ,1 ,1 ,5 ,1 ,1 ,1 ,1 ,4 ,1 ,1 ,1 ,1 ,4 ,1 ,1 ,1 ,1 ,3 ,컴퓨터공학,2,20,1
2 ,3 ,3 ,3 ,4 ,4 ,4 ,3 ,3 ,2 ,4 ,4 ,3 ,4 ,4 ,1 ,3 ,3 ,4 ,4 ,4 ,2 ,2 ,3 ,3 ,3 ,3 ,3 ,4 ,4 ,3 ,4 ,3 ,3 ,5 ,컴퓨터공학,2,19,1
4 ,2 ,4 ,5 ,2 ,3 ,4 ,3 ,3 ,2 ,4 ,4 ,3 ,3 ,3 ,2 ,3 ,3 ,2 ,3 ,4 ,4 ,3 ,2 ,3 ,4 ,4 ,4 ,3 ,4 ,2 ,2 ,2 ,4 ,5 ,영어교육,2,21,2
2 ,2 ,3 ,2 ,2 ,2 ,3 ,2 ,2 ,2 ,4 ,4 ,2 ,2 ,4 ,2 ,2 ,2 ,2 ,4 ,2 ,4 ,2 ,2 ,4 ,2 ,4 ,4 ,4 ,4 ,4 ,2 ,2 ,2 ,3 ,식품영양,2,20,2
2 ,2 ,2 ,3 ,2 ,3 ,2 ,2 ,2 ,5 ,4 ,3 ,2 ,3 ,2 ,2 ,2 ,3 ,3 ,3 ,3 ,2 ,5 ,2 ,3 ,3 ,3 ,5 ,2 ,3 ,2 ,3 ,5 ,3 ,3 ,광고홍보,2,21,4
2 ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,4 ,3 ,2 ,2 ,4 ,3 ,2 ,2 ,2 ,4 ,3 ,2 ,2 ,2 ,3 ,3 ,3 ,2 ,2 ,4 ,3 ,2 ,2 ,2 ,3 ,3 ,경영,2,20,3
2 ,2 ,2 ,2 ,2 ,3 ,3 ,2 ,2 ,4 ,3 ,3 ,3 ,5 ,3 ,2 ,2 ,3 ,4 ,3 ,3 ,2 ,3 ,4 ,3 ,3 ,3 ,4 ,5 ,4 ,3 ,3 ,3 ,3 ,3 ,건축학과,1,19,2
1 ,3 ,2 ,3 ,3 ,2 ,1 ,2 ,3 ,2 ,4 ,3 ,2 ,3 ,3 ,2 ,2 ,3 ,5 ,1 ,3 ,3 ,3 ,3 ,2 ,3 ,3 ,4 ,5 ,4 ,3 ,2 ,4 ,3 ,4 ,컴퓨터공학,1,23,3
2 ,2 ,4 ,1 ,2 ,2 ,3 ,2 ,2 ,3 ,4 ,3 ,3 ,2 ,3 ,3 ,2 ,2 ,3 ,2 ,3 ,2 ,2 ,3 ,2 ,3 ,3 ,3 ,3 ,2 ,2 ,1 ,3 ,2 ,4 ,경영,1,26,4
2 ,2 ,2 ,3 ,3 ,2 ,1 ,1 ,2 ,3 ,3 ,2 ,2 ,3 ,2 ,1 ,2 ,2 ,2 ,3 ,3 ,2 ,2 ,3 ,2 ,2 ,2 ,2 ,3 ,2 ,2 ,2 ,2 ,3 ,3 ,식품영양,2,20,2
3 ,3 ,3 ,3 ,3 ,2 ,2 ,3 ,4 ,3 ,4 ,4 ,3 ,3 ,3 ,3 ,3 ,4 ,2 ,3 ,2 ,2 ,2 ,2 ,3 ,3 ,3 ,2 ,3 ,3 ,2 ,2 ,2 ,2 ,4 ,경찰행정,1,24,3
2 ,2 ,2 ,2 ,3 ,2 ,3 ,3 ,2 ,3 ,4 ,3 ,2 ,3 ,2 ,2 ,2 ,2 ,5 ,2 ,3 ,2 ,2 ,4 ,2 ,3 ,3 ,2 ,5 ,2 ,2 ,2 ,4 ,2 ,4 ,식품영양,2,21,2
2 ,2 ,3 ,2 ,2 ,2 ,2 ,2 ,3 ,3 ,2 ,2 ,2 ,3 ,3 ,2 ,3 ,3 ,3 ,3 ,3 ,3 ,3 ,3 ,3 ,3 ,3 ,3 ,3 ,4 ,3 ,3 ,3 ,3 ,3 ,사회복지,2,21,3
1 ,1 ,3 ,1 ,4 ,4 ,4 ,3 ,1 ,4 ,5 ,3 ,2 ,3 ,3 ,3 ,3 ,2 ,1 ,5 ,4 ,5 ,1 ,1 ,2 ,1 ,3 ,3 ,3 ,4 ,3 ,3 ,3 ,4 ,5 ,패션의류,2,22,3
3 ,3 ,3 ,4 ,3 ,3 ,3 ,2 ,3 ,3 ,4 ,4 ,3 ,3 ,3 ,3 ,2 ,3 ,3 ,2 ,2 ,2 ,2 ,3 ,3 ,3 ,4 ,4 ,3 ,3 ,2 ,4 ,3 ,3 ,3 ,융합디자인,2,9999,2
1 ,1 ,1 ,2 ,2 ,3 ,2 ,1 ,1 ,1 ,1 ,1 ,1 ,4 ,1 ,1 ,1 ,1 ,4 ,2 ,1 ,1 ,1 ,5 ,3 ,1 ,1 ,5 ,1 ,3 ,1 ,1 ,4 ,1 ,1 ,융합디자인,2,19,2
3 ,3 ,4 ,2 ,3 ,3 ,3 ,3 ,3 ,3 ,3 ,3 ,3 ,4 ,2 ,3 ,3 ,3 ,3 ,3 ,3 ,3 ,3 ,2 ,3 ,3 ,3 ,3 ,3 ,3 ,3 ,3 ,3 ,3 ,3 ,경영정보,2,21,3
3 ,2 ,2 ,2 ,2 ,3 ,2 ,2 ,2 ,3 ,4 ,4 ,3 ,3 ,2 ,3 ,2 ,3 ,3 ,3 ,3 ,2 ,2 ,2 ,2 ,4 ,2 ,2 ,3 ,3 ,2 ,3 ,3 ,3 ,3 ,국어교육,2,21,3
2 ,2 ,2 ,2 ,2 ,3 ,2 ,2 ,3 ,4 ,4 ,3 ,2 ,2 ,2 ,2 ,2 ,5 ,2 ,3 ,2 ,2 ,2 ,4 ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,4 ,3 ,융합디자인,2,20,2
1 ,1 ,1 ,1 ,1 ,1 ,3 ,2 ,1 ,3 ,2 ,1 ,1 ,5 ,1 ,3 ,1 ,1 ,5 ,3 ,2 ,1 ,1 ,5 ,2 ,3 ,2 ,1 ,5 ,1 ,1 ,1 ,3 ,4 ,2 ,경찰행정,2,20,2
2 ,2 ,2 ,3 ,3 ,3 ,2 ,4 ,4 ,4 ,3 ,3 ,4 ,3 ,2 ,3 ,4 ,4 ,4 ,3 ,2 ,4 ,2 ,3 ,4 ,2 ,3 ,3 ,4 ,4 ,3 ,3 ,2 ,4 ,4 ,한국어문학,2,21,4
2 ,2 ,3 ,2 ,3 ,2 ,1 ,1 ,1 ,2 ,2 ,2 ,2 ,5 ,2 ,2 ,2 ,1 ,5 ,2 ,2 ,2 ,2 ,4 ,2 ,1 ,2 ,2 ,4 ,5 ,3 ,2 ,2 ,2 ,2 ,공연영상,2,21,4
2 ,3 ,4 ,3 ,3 ,3 ,3 ,3 ,3 ,2 ,3 ,3 ,3 ,2 ,2 ,2 ,3 ,4 ,3 ,2 ,3 ,3 ,3 ,2 ,2 ,3 ,4 ,4 ,2 ,3 ,3 ,3 ,4 ,3 ,3 ,환경공학과,1,24,3
3 ,3 ,4 ,3 ,4 ,4 ,2 ,2 ,4 ,2 ,4 ,3 ,3 ,2 ,3 ,2 ,3 ,4 ,4 ,3 ,4 ,2 ,3 ,2 ,3 ,4 ,3 ,4 ,5 ,3 ,3 ,4 ,2 ,4 ,4 ,공연영상,1,24,3
2 ,2 ,3 ,3 ,3 ,4 ,4 ,3 ,3 ,3 ,2 ,2 ,3 ,2 ,2 ,2 ,2 ,3 ,4 ,3 ,2 ,1 ,2 ,3 ,2 ,2 ,3 ,3 ,4 ,2 ,3 ,2 ,2 ,2 ,2 ,호텔외식조리,1,20,2
1 ,1 ,1 ,1 ,1 ,1 ,1 ,2 ,1 ,1 ,4 ,4 ,2 ,1 ,3 ,1 ,1 ,1 ,1 ,5 ,2 ,2 ,1 ,1 ,4 ,1 ,2 ,1 ,2 ,4 ,3 ,2 ,1 ,1 ,3 ,국어교육,2,21,3
2 ,2 ,2 ,1 ,3 ,3 ,1 ,1 ,2 ,4 ,3 ,2 ,2 ,4 ,1 ,1 ,2 ,2 ,4 ,2 ,2 ,2 ,2 ,4 ,1 ,2 ,3 ,2 ,4 ,3 ,2 ,1 ,2 ,3 ,3 ,중국어,2,20,2
2 ,1 ,1 ,4 ,4 ,2 ,1 ,1 ,1 ,4 ,2 ,2 ,2 ,4 ,3 ,2 ,1 ,1 ,5 ,2 ,2 ,2 ,1 ,4 ,1 ,2 ,1 ,1 ,5 ,1 ,1 ,1 ,2 ,5 ,2 ,사회교육,2,21,3
2 ,1 ,1 ,3 ,4 ,2 ,1 ,1 ,1 ,4 ,2 ,2 ,2 ,4 ,3 ,2 ,1 ,1 ,5 ,2 ,2 ,2 ,1 ,4 ,1 ,2 ,1 ,2 ,5 ,1 ,1 ,2 ,2 ,5 ,2 ,사회교육,9999,20,3
3 ,3 ,3 ,2 ,3 ,3 ,3 ,3 ,2 ,2 ,3 ,3 ,4 ,2 ,2 ,2 ,2 ,2 ,4 ,2 ,3 ,3 ,3 ,2 ,2 ,3 ,3 ,3 ,2 ,3 ,3 ,2 ,3 ,2 ,3 ,호텔외식조리,1,20,2
3 ,3 ,4 ,3 ,3 ,4 ,3 ,3 ,3 ,2 ,4 ,3 ,3 ,3 ,3 ,3 ,3 ,4 ,3 ,3 ,3 ,3 ,3 ,3 ,3 ,3 ,3 ,3 ,4 ,3 ,3 ,3 ,3 ,3 ,3 ,경영정보,2,21,3
2 ,2 ,2 ,2 ,2 ,4 ,2 ,2 ,2 ,2 ,4 ,3 ,3 ,5 ,2 ,2 ,2 ,2 ,4 ,3 ,3 ,2 ,2 ,3 ,2 ,4 ,3 ,3 ,4 ,4 ,3 ,2 ,3 ,3 ,3 ,패션의류,1,24,4
2 ,2 ,2 ,2 ,3 ,2 ,2 ,2 ,1 ,4 ,2 ,2 ,1 ,3 ,2 ,2 ,2 ,2 ,4 ,2 ,2 ,2 ,4 ,4 ,2 ,2 ,2 ,2 ,4 ,2 ,2 ,2 ,2 ,4 ,2 ,국어교육,2,21,3
2 ,2 ,1 ,3 ,2 ,1 ,1 ,1 ,1 ,4 ,3 ,2 ,2 ,4 ,3 ,2 ,1 ,1 ,4 ,1 ,3 ,2 ,2 ,4 ,3 ,1 ,3 ,2 ,5 ,1 ,1 ,3 ,2 ,4 ,3 ,행정,1,24,4
1 ,2 ,2 ,3 ,2 ,2 ,1 ,1 ,1 ,4 ,4 ,2 ,2 ,4 ,2 ,1 ,1 ,2 ,4 ,3 ,2 ,2 ,2 ,4 ,3 ,2 ,2 ,2 ,4 ,4 ,2 ,3 ,1 ,4 ,3 ,중국어,1,24,4
2 ,1 ,3 ,2 ,3 ,3 ,2 ,2 ,2 ,2 ,3 ,2 ,2 ,2 ,2 ,2 ,2 ,3 ,5 ,4 ,4 ,2 ,2 ,2 ,2 ,4 ,2 ,3 ,4 ,4 ,2 ,2 ,4 ,2 ,3 ,사회교육,2,19,2
