센터인지,프로그램인지,휴학이유,어려운점1,어려운점2,어려운점3,도움1,도움2,도움3,진로계획,필요성,불필요이유,참여의사,불참이유,도움대상1,도움대상2,도움대상3,선호시간,희망1,희망2,희망3,상담회수,구분,학과,연령,학년,성별
1,2,1,3,2,4,2,3,5,2,4,4,4,5,3,4,2,4,3,2,1,3,9999,행정학과,23,3,1
2,2,1,1,3,5,1,4,3,2,4,3,4,5,1,2,3,4,4,2,3,2,9999,행정학과,22,3,1
2,1,1,3,5,4,3,5,4,2,3,9999,3,9999,3,7,4,3,4,6,8,3,9999,행정학과,23,3,1
1,2,1,4,2,1,5,1,3,1,4,2,4,1,2,3,4,4,3,4,1,2,9999,행정학과,23,3,1
2,1,1,1,2,3,1,2,3,1,1,3,3,9999,3,7,5,1,4,6,5,1,9999,행정학과,22,2,1
2,2,1,3,2,4,5,6,1,2,2,9999,4,3,5,2,3,4,4,2,5,2,9999,행정학과,22,3,1
2,1,1,1,2,5,1,4,3,1,3,9999,3,9999,4,2,7,2,4,6,8,4,9999,행정학과,22,2,1
2,2,1,2,5,4,1,2,5,2,4,1,4,3,3,2,5,1,3,2,1,2,9999,행정학과,23,3,1
2,2,1,3,4,1,1,5,2,2,2,9999,2,9999,2,4,5,2,2,3,5,2,9999,행정학과,22,3,1
2,2,1,2,3,4,1,4,2,2,3,9999,3,9999,6,7,4,2,2,6,5,2,9999,행정학과,23,3,1
1,1,1,4,1,3,2,5,4,2,3,9999,2,9999,6,4,3,2,1,4,6,2,9999,행정학과,22,3,1
1,1,1,2,3,4,2,3,4,1,3,9999,3,9999,4,5,6,3,8,2,3,2,9999,행정학과,24,3,1
1,1,1,3,1,2,2,5,4,3,3,9999,2,9999,2,5,1,3,6,8,2,2,9999,행정학과,23,3,1
2,2,1,3,1,4,4,3,2,2,3,9999,3,9999,6,2,1,4,4,2,6,3,9999,행정학과,22,3,1
1,1,1,4,3,1,2,1,5,1,3,9999,3,9999,1,6,2,3,1,4,5,1,9999,행정학과,23,3,1
1,2,1,3,4,3,2,5,4,1,4,4,3,9999,2,1,3,2,6,2,1,2,9999,행정학과,22,3,1
2,2,1,1,3,4,3,4,1,2,3,9999,4,2,1,2,3,4,6,9999,9999,1,9999,행정학과,22,3,1
2,2,1,1,3,2,3,1,4,1,3,1,3,3,3,1,2,2,4,9999,9999,3,9999,행정학과,22,3,1
1,2,1,1,4,3,2,4,1,2,3,9999,3,9999,1,2,3,4,4,5,6,2,9999,행정학과,22,3,1
1,2,1,4,2,3,3,1,5,1,2,9999,3,9999,2,3,4,1,2,4,5,2,9999,행정학과,22,3,1
1,1,1,1,2,4,5,3,1,6,2,9999,2,9999,2,1,3,1,3,1,6,2,1,윤리교육과,25,2,1
1,2,1,3,1,4,3,1,4,6,2,9999,2,9999,2,3,4,1,2,6,1,5,1,윤리교육과,22,2,1
1,1,1,4,3,1,2,5,4,2,2,9999,3,9999,1,2,3,2,6,1,3,2,1,윤리교육과,24,2,1
1,2,3,1,3,6,4,9999,9999,6,2,9999,3,9999,1,2,8,3,2,6,4,2,2,윤리교육과,20,2,2
1,2,4,3,1,4,3,1,4,4,3,9999,3,9999,4,6,7,1,8,5,1,2,2,윤리교육과,20,2,2
1,2,4,2,5,1,4,3,1,6,2,9999,2,9999,3,2,4,2,1,4,5,2,3,윤리교육과,26,3,2
2,2,1,4,3,2,2,3,5,1,1,9999,2,9999,1,3,8,2,2,1,4,2,1,윤리교육과,23,2,1
1,2,1,2,1,4,3,1,5,2,2,9999,3,9999,1,4,6,2,2,6,3,3,1,건축학과,24,2,1
2,2,1,1,5,3,4,3,1,1,3,9999,3,9999,2,1,4,1,1,2,3,2,1,건축학과,21,2,1
2,2,1,1,3,2,1,3,4,1,3,9999,3,9999,5,4,3,1,1,2,3,1,1,건축학과,23,2,1
2,2,1,1,4,5,4,3,2,1,1,9999,3,9999,4,3,2,1,3,2,6,4,1,건축학과,22,2,1
1,2,7,2,4,1,1,2,5,4,2,9999,3,9999,1,2,6,2,4,5,1,2,2,건축학과,22,2,1
2,2,1,1,5,3,4,3,2,7,3,9999,3,9999,1,2,3,1,6,3,2,2,1,건축학과,22,2,1
2,2,1,3,6,4,1,3,2,7,3,9999,4,1,4,5,2,4,1,2,8,3,1,건축학과,21,2,1
2,2,1,1,3,5,1,3,5,5,1,9999,2,9999,3,4,1,1,8,1,2,3,1,건축학과,21,2,1
2,2,1,4,3,1,3,1,6,1,3,9999,5,2,3,1,8,4,2,1,5,4,1,건축학과,21,2,1
2,2,2,2,4,1,5,1,3,1,3,9999,3,9999,1,2,4,1,1,2,3,2,2,건축학과,23,2,1
1,2,1,1,3,5,2,1,3,1,2,9999,3,9999,1,2,3,1,2,6,3,3,1,건축학과,21,2,1
2,2,1,2,4,1,3,1,4,3,4,2,4,1,3,1,3,1,1,2,5,2,1,건축학과,23,2,1
1,1,1,1,5,6,1,3,2,1,5,5,5,7,1,2,3,2,1,2,3,1,1,건축학과,22,2,1
2,2,1,1,3,4,3,2,4,1,3,9999,3,9999,3,1,4,1,1,5,6,1,1,건축학과,22,2,1
1,2,1,1,5,3,4,3,2,2,2,9999,3,9999,3,2,4,2,2,1,3,2,1,체육교육과,22,2,1
1,2,1,1,4,3,4,1,2,2,2,9999,2,9999,3,1,2,2,6,1,2,2,1,체육교육과,23,3,1
2,1,1,3,5,4,3,4,1,6,3,9999,4,2,1,2,3,4,6,5,7,1,1,체육교육과,21,2,1
2,2,1,1,4,3,2,4,3,2,3,9999,3,9999,2,1,3,1,8,6,1,2,3,체육교육과,22,3,1
2,2,1,1,2,5,1,3,4,6,2,9999,3,9999,3,4,2,2,1,5,8,2,1,체육교육과,22,2,1
2,2,8,1,5,3,3,4,1,2,3,9999,3,9999,3,1,4,2,3,1,2,2,3,체육교육과,22,3,1
1,2,5,3,1,2,3,4,1,6,3,9999,2,9999,2,1,7,4,3,2,8,2,3,체육교육과,20,3,2
2,2,1,4,9999,9999,3,4,9999,1,3,9999,3,9999,1,2,3,2,2,3,6,2,1,레저스포츠학과,22,1,1
1,2,1,3,9999,9999,1,3,9999,7,2,9999,2,9999,4,3,6,1,1,2,8,2,1,레저스포츠학과,21,2,1
1,2,1,3,1,4,3,4,1,1,2,9999,2,9999,4,5,6,2,2,1,5,2,2,레저스포츠학과,22,2,1
1,2,1,1,5,3,1,3,2,1,2,9999,3,9999,2,3,1,1,2,1,5,2,1,레저스포츠학과,21,2,1
2,2,8,4,1,3,1,3,6,1,4,1,4,3,3,2,1,1,1,2,3,1,2,레저스포츠학과,22,2,1
1,1,8,1,3,5,4,3,1,1,2,9999,2,9999,3,4,2,3,2,1,3,2,3,레저스포츠학과,24,3,1
2,2,1,2,3,4,3,1,4,1,2,9999,3,9999,4,2,3,4,2,4,6,3,1,레저스포츠학과,24,3,1
1,2,1,3,4,1,3,4,1,1,1,9999,2,9999,5,4,3,1,2,7,1,3,1,레저스포츠학과,23,3,1
2,2,1,3,1,4,1,3,4,1,1,9999,3,9999,3,5,4,2,2,8,1,2,1,레저스포츠학과,23,3,1
1,2,1,3,4,1,3,4,1,1,2,9999,2,9999,5,3,2,2,8,1,3,5,1,레저스포츠학과,23,4,1
2,2,5,3,1,4,3,1,2,1,2,9999,3,9999,5,4,6,1,1,2,8,2,2,레저스포츠학과,22,4,2
1,2,5,3,2,5,3,1,2,8,2,9999,3,9999,4,5,6,3,8,4,1,3,2,레저스포츠학과,25,4,1
2,2,9999,3,1,2,4,3,2,1,2,9999,3,9999,4,6,3,1,1,2,3,1,2,환경공학과,25,4,1
2,2,5,2,1,3,3,4,5,1,3,9999,3,9999,2,3,1,1,1,2,3,1,2,환경공학과,22,4,2
2,2,1,2,1,3,2,5,3,1,2,9999,3,9999,1,2,3,1,1,6,2,1,1,환경공학과,22,2,1
2,2,1,1,3,2,3,4,5,1,3,9999,3,9999,4,5,1,1,5,4,2,1,1,환경공학과,23,3,1
1,1,1,2,1,3,2,3,4,1,5,3,5,3,4,5,1,1,5,4,2,1,1,환경공학과,23,2,1
2,2,1,1,2,3,1,2,3,1,3,9999,3,9999,1,2,3,1,1,2,3,2,1,환경공학과,22,3,1
1,1,1,1,9999,9999,5,9999,9999,1,2,9999,3,9999,4,9999,9999,1,1,4,6,2,1,환경공학과,21,2,1
1,2,1,3,5,1,3,4,5,1,2,9999,2,9999,4,5,7,2,5,2,1,2,1,환경공학과,21,2,1
1,2,1,1,3,4,3,4,1,1,4,3,5,5,2,1,3,1,2,1,5,1,1,환경공학과,22,2,1
1,1,1,6,9999,9999,1,3,4,1,3,9999,3,9999,4,6,1,9999,3,8,5,2,1,환경공학과,22,2,1
1,2,1,1,5,4,2,1,3,5,1,9999,1,9999,1,2,3,2,5,6,7,2,1,환경공학과,22,2,1
2,2,1,2,1,4,2,5,3,1,3,9999,4,1,2,1,9999,2,1,4,5,2,1,경영학과,25,4,1
1,2,1,3,1,2,3,4,5,1,2,9999,2,9999,3,2,4,4,1,8,3,2,1,경영학과,23,2,1
2,2,3,1,3,4,3,1,2,8,5,3,5,5,1,2,4,5,8,1,2,1,2,경영학과,19,1,1
1,1,1,1,5,4,2,3,4,5,5,1,5,1,1,2,3,2,7,6,5,1,1,경영학과,22,2,1
2,2,7,6,1,9999,9999,1,2,9999,3,9999,1,1,1,9999,9999,1,1,5,9999,2,2,경영학과,24,3,1
1,2,1,9999,9999,9999,3,5,9999,1,2,9999,3,9999,1,9999,9999,5,1,4,8,3,1,경영학과,24,3,1
2,2,1,6,5,4,6,7,5,4,4,1,1,2,3,3,6,3,6,3,5,1,1,경영학과,22,2,1
1,2,1,1,3,4,3,4,1,1,1,9999,2,9999,3,4,6,1,1,2,8,2,1,경영학과,21,2,1
1,1,1,3,1,4,3,1,2,1,4,5,4,5,1,2,3,3,1,2,8,2,1,경영학과,21,2,1
1,2,8,1,4,5,4,1,3,6,4,3,4,2,3,1,2,1,6,8,3,2,2,영어교육과,23,4,2
2,2,1,3,1,2,3,4,1,2,3,9999,3,9999,2,3,1,3,5,1,2,2,1,영어교육과,22,2,1
2,2,1,3,5,1,2,3,4,8,3,9999,3,9999,2,3,1,1,1,4,6,2,1,영어교육과,21,2,1
2,2,1,1,3,4,4,2,3,1,2,9999,3,9999,1,2,3,2,1,2,3,2,1,영어교육과,21,2,1
1,2,8,3,1,2,3,1,9999,6,2,9999,4,1,3,2,1,2,5,3,8,2,2,영어교육과,22,3,2
2,2,1,1,3,4,3,4,1,6,2,9999,3,9999,2,3,4,2,3,8,1,2,1,영어교육과,21,2,1
2,2,1,1,4,3,1,3,4,6,3,9999,3,9999,1,2,4,4,1,8,6,2,1,영어교육과,22,2,1
2,2,4,1,4,2,3,2,4,6,2,9999,2,1,3,2,1,2,6,3,1,3,3,영어교육과,20,3,2
2,2,1,3,4,5,8,5,1,5,2,1,5,2,1,2,3,5,1,2,3,5,1,영어교육과,22,3,1
2,2,1,3,1,4,3,4,5,2,3,9999,3,9999,3,4,5,3,3,4,5,2,1,영어교육과,22,3,1
1,2,7,4,1,2,1,2,3,2,4,4,5,3,1,2,3,1,6,3,1,1,2,영어교육과,25,3,1
2,2,1,1,2,4,4,3,1,6,2,9999,3,9999,1,2,3,3,3,6,1,2,1,영어교육과,22,2,1
1,1,2,6,1,3,3,1,5,1,2,9999,4,2,6,5,4,2,5,1,8,2,2,유아교육과,22,4,2
1,2,2,1,4,3,3,2,1,1,3,9999,4,2,5,1,2,4,8,1,3,1,2,유아교육과,22,4,2
1,2,3,4,2,1,2,1,5,2,5,3,3,9999,6,1,3,1,6,5,8,3,3,유아교육과,36,3,2
2,2,8,5,1,2,3,2,4,6,3,9999,3,9999,1,2,3,1,5,8,1,2,2,유아교육과,22,4,2
2,2,8,4,1,3,3,4,2,6,3,9999,3,9999,1,3,4,2,1,2,3,2,2,유아교육과,22,4,2
2,2,8,1,3,4,6,2,5,5,5,3,1,2,3,3,1,2,3,1,2,3,2,유아교육과,22,3,2
1,2,3,1,3,5,1,3,2,6,3,9999,3,9999,6,1,3,4,5,8,3,2,2,유아교육과,20,2,2
1,2,2,4,2,1,3,1,2,6,4,3,4,1,1,2,3,2,4,2,3,2,2,유아교육과,20,2,2
2,2,7,4,3,1,3,4,1,9,2,9999,3,9999,4,5,6,2,2,3,1,2,2,유아교육과,20,2,2
2,2,1,3,4,1,2,3,4,1,2,9999,3,9999,2,4,5,4,6,2,8,3,1,금융보험학과,23,3,1
1,1,1,2,3,4,2,5,3,5,3,3,3,9999,2,1,3,2,4,1,2,2,1,금융보험학과,23,3,1
2,2,1,1,5,2,3,1,2,1,4,1,4,2,2,1,3,1,2,3,1,1,2,금융보험학과,22,3,1
2,2,1,1,3,4,2,1,3,1,3,9999,3,9999,6,1,2,1,1,2,3,2,1,금융보험학과,22,2,1
1,2,1,5,2,3,3,1,4,1,2,9999,2,9999,2,5,6,4,2,5,6,2,1,금융보험학과,22,2,1
1,2,1,6,9999,9999,4,9999,9999,1,3,9999,3,9999,2,1,6,1,5,1,6,2,1,금융보험학과,22,2,1
2,2,1,4,1,3,1,3,4,7,1,9999,3,9999,3,4,5,3,1,6,8,2,1,금융보험학과,22,2,1
1,2,1,1,2,4,1,3,5,7,2,9999,3,9999,1,2,6,1,1,3,5,2,1,금융보험학과,22,2,1
2,2,1,1,3,4,4,3,5,1,4,3,4,3,1,2,3,1,3,5,8,2,1,금융보험학과,23,3,1
1,2,1,6,9999,9999,6,9999,9999,1,3,9999,3,9999,1,2,3,2,9,9999,9999,1,1,금융보험학과,22,2,1
2,2,1,3,5,4,4,3,1,1,2,9999,2,9999,1,3,4,3,1,2,6,2,1,광고홍보학과,23,2,1
2,2,9999,4,1,3,1,2,3,7,3,9999,3,9999,1,2,3,1,1,2,3,1,1,광고홍보학과,23,2,1
2,2,1,3,9999,9999,1,2,3,1,3,9999,3,9999,3,4,5,2,1,3,4,2,1,광고홍보학과,23,2,1
2,2,1,1,3,4,4,1,2,1,3,9999,3,9999,3,4,5,2,2,4,1,2,1,광고홍보학과,21,2,1
2,2,4,3,4,1,4,3,2,3,5,3,4,1,7,4,3,3,5,8,3,3,2,광고홍보학과,21,3,2
2,2,2,1,4,2,3,4,2,7,3,9999,5,2,3,2,1,1,6,1,2,1,2,광고홍보학과,23,3,1
1,2,1,1,3,5,1,3,5,1,2,9999,2,9999,6,4,3,3,2,8,1,5,1,광고홍보학과,22,2,1
1,2,1,1,4,3,3,2,4,1,2,9999,2,9999,4,2,1,4,7,2,5,2,1,무역학과,22,2,1
2,2,8,3,1,4,3,1,4,1,2,9999,3,9999,4,5,7,5,1,8,2,2,2,무역학과,24,2,1
2,2,4,3,5,4,1,3,4,7,3,9999,4,1,1,4,5,2,2,8,1,2,2,무역학과,24,2,1
2,2,1,3,4,2,1,3,4,1,2,9999,3,9999,5,1,6,2,1,8,3,2,2,무역학과,22,2,1
2,2,1,3,4,2,1,3,4,1,2,9999,3,9999,5,1,6,2,1,8,3,2,2,무역학과,22,2,1
2,2,8,3,1,2,3,1,2,2,3,9999,3,9999,1,2,6,1,1,2,6,2,1,무역학과,24,3,1
2,2,1,3,5,1,3,4,5,1,3,9999,2,9999,1,2,3,1,3,1,6,4,1,무역학과,22,2,1
1,2,1,4,3,2,3,4,2,8,1,9999,2,9999,3,5,4,2,1,8,4,3,2,무역학과,24,2,1
2,2,1,1,2,9999,4,3,9999,1,3,9999,3,9999,3,2,5,2,3,1,2,2,1,무역학과,22,2,1
2,2,1,5,1,3,1,3,5,5,3,9999,3,9999,1,2,3,2,5,4,8,2,1,무역학과,21,2,1
2,2,1,2,4,1,3,4,2,1,2,9999,3,9999,2,1,3,3,1,2,3,2,1,무역학과,22,2,1
2,2,1,1,3,4,1,3,4,1,3,9999,3,9999,4,6,2,1,2,5,1,2,1,무역학과,21,2,1
2,2,1,3,4,2,1,3,4,7,3,9999,4,1,4,5,3,1,5,7,1,2,1,무역학과,22,2,1
2,2,1,3,1,4,3,2,1,7,4,1,3,9999,6,3,5,2,2,1,3,2,1,무역학과,21,2,1
2,2,1,3,1,4,3,4,1,5,2,9999,4,1,4,6,5,1,2,8,6,2,1,무역학과,22,2,1
2,2,8,3,1,9999,2,3,1,1,3,9999,4,5,1,2,3,1,2,1,3,1,1,무역학과,21,2,1
1,1,1,3,1,4,3,4,5,2,3,9999,3,9999,1,2,6,1,2,1,5,2,1,경찰행정학과,23,4,1
2,2,1,3,5,4,3,2,1,1,5,3,5,5,3,5,4,1,1,5,3,2,1,경찰행정학과,23,2,1
1,2,1,3,4,1,3,4,1,2,3,9999,3,9999,3,4,5,3,3,2,1,2,1,경찰행정학과,23,3,1
2,2,1,3,4,1,4,3,1,2,3,9999,3,9999,3,5,6,3,5,8,3,2,1,경찰행정학과,23,3,1
2,2,1,1,2,3,3,1,4,2,3,9999,3,9999,3,4,2,2,1,2,8,3,1,경찰행정학과,22,2,1
2,2,1,4,3,2,3,4,9999,2,3,9999,4,3,3,2,1,4,3,6,8,2,1,경찰행정학과,21,2,1
1,2,8,3,1,5,3,4,1,2,3,9999,3,9999,4,5,3,1,1,3,8,2,2,경찰행정학과,22,4,2
1,2,1,1,4,3,4,3,5,2,4,3,4,5,1,2,3,2,5,2,4,1,1,경찰행정학과,22,2,1
2,2,1,5,3,1,5,4,1,2,2,9999,5,1,1,2,3,1,7,5,2,2,1,경찰행정학과,22,2,1
1,2,1,2,3,4,1,2,2,2,3,9999,4,5,1,2,3,1,4,5,2,2,2,경찰행정학과,24,2,1
1,1,1,3,1,2,3,2,4,2,1,9999,1,9999,4,5,1,2,1,2,3,2,1,경찰행정학과,23,3,1
1,2,7,3,2,4,3,2,5,1,3,9999,3,9999,5,6,4,1,8,2,5,4,2,경찰행정학과,22,4,2
1,2,1,5,3,1,4,3,1,2,3,9999,2,9999,3,2,4,1,3,8,2,3,1,경찰행정학과,22,2,1
1,2,4,2,1,3,1,5,3,4,2,9999,1,9999,3,4,8,1,8,1,3,2,2,경찰행정학과,21,2,2
2,2,5,5,1,2,4,1,2,2,5,1,5,1,3,4,5,1,5,1,3,1,2,경찰행정학과,23,4,2
2,2,1,3,1,4,3,4,1,2,2,9999,3,9999,4,3,7,2,8,1,3,2,1,경찰행정학과,23,2,1
1,1,1,2,4,1,5,2,1,2,2,9999,3,9999,2,1,3,2,4,5,6,2,1,경찰행정학과,21,2,1
2,2,1,5,3,1,1,3,4,7,3,9999,4,5,3,1,5,2,5,1,2,2,1,경찰행정학과,23,3,1
2,2,1,3,2,1,3,4,5,2,3,9999,3,9999,1,3,2,2,3,2,5,1,1,경찰행정학과,22,3,1
2,2,1,1,5,4,3,4,5,2,3,9999,3,9999,2,3,4,3,1,2,3,2,1,경찰행정학과,23,2,1
2,2,4,1,2,3,1,2,3,3,2,9999,3,9999,2,3,4,4,3,2,1,1,2,정보통신공학과,24,3,1
1,1,1,4,9999,9999,2,3,4,1,3,9999,3,9999,3,2,1,1,2,1,3,3,1,정보통신공학과,21,2,1
2,2,1,1,2,5,1,2,3,7,1,9999,3,9999,3,2,5,1,1,5,6,1,1,정보통신공학과,24,4,1
1,1,1,1,3,5,4,1,3,1,2,9999,2,9999,5,4,3,3,2,1,8,2,1,정보통신공학과,23,4,1
1,1,1,3,5,1,1,3,4,1,3,9999,3,9999,1,3,2,1,1,5,2,2,1,정보통신공학과,23,3,1
2,2,4,1,2,3,1,2,3,3,2,9999,3,9999,2,3,4,4,3,2,1,1,2,정보통신공학과,25,4,1
2,2,1,1,3,5,4,3,2,6,1,9999,3,9999,1,2,3,2,3,6,1,2,1,수학교육과,22,3,1
2,2,1,1,3,5,4,3,2,1,2,9999,4,1,1,2,3,2,3,6,2,2,1,수학교육과,22,3,1
1,2,1,1,5,4,4,1,3,6,4,4,1,9999,1,2,3,2,6,1,3,2,1,수학교육과,24,2,1
2,2,1,5,1,3,3,4,1,2,4,3,4,3,7,4,5,2,1,5,8,2,1,수학교육과,21,2,1
2,2,1,1,4,2,1,4,2,6,2,9999,3,9999,3,4,1,2,3,5,8,2,1,수학교육과,21,2,1
1,2,1,1,2,4,4,2,1,6,2,9999,2,9999,2,1,7,4,5,3,4,2,1,수학교육과,22,2,1
2,2,8,1,3,4,4,3,1,6,1,9999,1,9999,1,2,3,3,1,3,7,2,3,수학교육과,22,3,2
1,2,1,1,2,4,2,3,4,6,1,9999,2,9999,2,3,1,2,3,4,5,2,1,수학교육과,22,2,1
2,2,1,1,3,5,2,3,4,2,3,9999,4,2,1,2,3,2,3,9999,9999,3,1,수학교육과,21,1,1
2,2,1,5,1,9999,4,9999,9999,6,3,9999,3,9999,2,9999,9999,2,6,5,9999,2,1,수학교육과,22,2,1
2,2,4,1,3,4,4,3,2,6,3,9999,3,9999,4,6,1,1,3,2,8,2,2,수학교육과,20,2,1
2,2,1,1,3,2,4,1,5,6,3,9999,3,9999,1,2,3,1,1,2,3,1,1,국어교육과,22,2,1
2,2,1,2,4,1,1,4,6,6,5,3,5,5,1,2,3,2,1,5,8,2,1,국어교육과,24,3,1
1,2,1,4,3,2,3,2,1,2,3,9999,3,9999,1,2,3,2,1,2,3,3,1,국어교육과,22,2,1
2,2,1,1,3,4,4,3,2,6,4,1,3,9999,1,2,3,2,6,5,1,2,1,국어교육과,22,2,1
2,2,8,1,3,4,4,1,3,6,2,9999,3,9999,3,1,7,2,3,8,6,3,3,국어교육과,28,3,2
1,2,8,1,4,3,1,2,4,6,3,9999,3,9999,2,3,1,3,2,8,2,3,3,국어교육과,23,3,2
1,2,1,4,1,5,1,5,4,6,1,9999,1,9999,2,3,1,3,3,2,8,4,1,국어교육과,21,2,1
2,2,1,1,3,4,3,1,4,2,1,9999,1,9999,2,1,3,3,1,3,5,3,1,국어교육과,22,2,1
1,2,7,1,2,3,1,3,4,8,2,9999,3,9999,3,4,6,3,1,8,5,2,2,뷰티학과,19,1,2
1,2,1,6,4,7,4,9999,2,7,2,9999,2,9999,2,1,5,2,1,6,8,3,1,뷰티학과,23,2,1
2,2,8,4,3,1,3,6,1,1,2,9999,2,9999,5,7,4,3,2,8,3,3,3,뷰티학과,24,4,2
2,2,1,9999,9999,2,9999,9999,1,1,9999,9999,3,9999,5,9999,9999,1,1,9999,9999,2,1,뷰티학과,22,3,1
2,2,1,4,5,1,4,3,2,4,3,9999,3,9999,3,2,1,2,1,4,6,3,1,영어과,21,2,1
2,2,1,4,1,2,3,4,1,4,2,9999,3,9999,1,2,3,2,1,9999,9999,2,1,영어과,21,2,1
1,2,1,4,1,3,3,4,6,9,1,9999,3,9999,2,3,5,1,6,2,5,2,1,영어과,21,2,1
1,2,8,3,1,4,3,1,2,1,3,9999,2,9999,2,3,5,1,1,2,8,2,2,영어과,24,3,1
1,2,1,4,2,3,3,4,2,8,1,9999,3,9999,3,2,1,4,1,2,4,2,1,영어과,24,3,1
2,2,5,1,3,4,4,2,3,1,2,9999,3,9999,3,2,6,1,6,3,8,3,2,영어과,24,3,2
2,2,5,3,4,6,3,1,6,1,3,9999,4,3,5,4,1,2,7,2,3,3,2,영어과,25,4,2
2,2,8,2,1,4,1,2,3,5,2,9999,5,1,1,2,3,1,4,1,2,2,2,영어과,24,3,1
2,2,1,1,4,2,2,4,1,1,2,9999,3,9999,1,3,2,1,1,4,6,2,1,융합디자인학과,23,3,1
2,2,2,2,4,3,1,3,2,1,3,9999,4,4,3,2,6,2,1,5,8,1,2,융합디자인학과,23,3,2
2,2,1,4,1,3,3,4,2,1,4,4,4,3,2,1,3,2,3,1,8,2,1,융합디자인학과,23,3,1
2,2,8,1,2,4,4,2,3,1,5,4,5,3,1,2,3,2,5,1,3,2,2,융합디자인학과,23,3,2
2,2,1,4,1,5,4,2,5,1,2,9999,3,9999,2,1,3,1,5,2,3,3,1,융합디자인학과,23,3,2
2,2,1,5,2,4,3,5,2,3,2,2,3,9999,1,2,3,1,1,2,3,2,2,융합디자인학과,25,4,1
2,2,1,3,1,5,3,4,1,1,4,2,4,6,2,3,1,4,5,6,8,2,1,융합디자인학과,22,3,1
2,2,1,3,9999,9999,1,3,4,1,3,9999,3,9999,1,2,3,1,1,3,5,1,1,융합디자인학과,22,3,1
1,1,1,3,1,4,2,3,4,4,3,9999,3,9999,1,2,3,1,1,5,6,2,1,융합디자인학과,22,3,1
2,2,7,1,3,5,1,4,3,2,2,9999,2,9999,3,2,6,2,3,5,6,2,2,역사교육과,22,4,2
1,2,1,4,1,2,2,9999,9999,2,3,9999,4,5,1,2,3,3,1,2,3,5,1,역사교육과,22,3,1
2,2,1,5,1,3,3,4,6,6,4,3,4,5,1,2,3,1,3,5,6,1,1,역사교육과,21,2,1
2,2,1,2,3,1,1,2,5,6,5,3,5,1,6,1,2,2,3,5,7,1,1,역사교육과,23,2,1
2,2,1,4,2,1,2,5,4,6,3,9999,3,9999,2,3,1,1,3,6,8,2,1,역사교육과,22,2,1
